image_file,image_width,image_height,aspect_ratio,analysis_width,analysis_height,foreground_ratio,bg_type,layout_mode,component_count,largest_component_ratio,second_component_ratio,has_scale_bar,has_overlay_text,border_brightness_mean,border_brightness_std,problem_score,bg_color_r,bg_color_g,bg_color_b,foreground_ratio_bin
data/raw/images/Нейш3А-2019-097_orig.jpg,3387,3306,1.0245009074410163,160,156,0.2858573717948718,light_photo,single_object,6,0.19278846153846155,0.06109775641025641,0,0,247.38436181434602,28.857100972623634,0.024205574436802182,255.0,255.0,255.0,0.15_0.30
data/raw/images/Т-12-Р2-1418_orig.jpg,3144,3816,0.8238993710691824,132,160,0.49895833333333334,white_uniform,single_object,5,0.42855113636363634,0.05265151515151515,0,1,253.2549229452055,11.776832765091779,0.49370687901907995,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-1438_orig.jpg,5082,2423,2.097399917457697,160,76,0.2959703947368421,white_uniform,single_object,5,0.21726973684210527,0.062171052631578946,0,0,252.15739759887003,14.533780906445093,0.7406984430635837,255.0,255.0,255.0,0.15_0.30
data/raw/images/Т-12-Р2-1636_orig.jpg,1805,4727,0.3818489528242014,61,160,0.29610655737704916,white_uniform,single_object,5,0.1817622950819672,0.09211065573770492,0,0,253.29751131221718,10.342727269975446,0.9627301600262551,255.0,255.0,255.0,0.15_0.30
data/raw/images/Т-12-Р2-1716_orig.jpg,5344,4224,1.2651515151515151,160,126,0.28501984126984126,white_uniform,single_object,5,0.14250992063492063,0.08923611111111111,0,0,253.94879079254082,7.245455465156672,0.23519188983038425,255.0,255.0,255.0,0.15_0.30
data/raw/images/Т-12-Р2-1779_orig.jpg,7150,3528,2.0266439909297054,160,79,0.23591772151898735,white_uniform,single_object,4,0.17531645569620252,0.051424050632911396,0,0,254.04070781032078,6.521791352571075,0.7063812185613715,255.0,255.0,255.0,0.15_0.30
data/raw/images/Т-12-Р2-1783_orig.jpg,2753,7448,0.36962943071965626,59,160,0.43686440677966104,light_photo,single_object,5,0.19322033898305085,0.14629237288135594,0,0,249.0029490106545,23.300798641478654,0.9952543138142957,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-1972_orig.jpg,4668,5542,0.8422952002887044,135,160,0.41032407407407406,white_uniform,multi_view,4,0.22810185185185186,0.17375,0,1,254.12161016949153,6.916024682384687,1.0716247320164771,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-1974_orig.jpg,3760,4645,0.8094725511302476,130,160,0.3985096153846154,white_uniform,single_object,5,0.22990384615384615,0.15634615384615386,0,1,253.73836206896553,9.10324368525,0.5113724148639986,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-2049_orig.jpg,2076,3397,0.6111274654106564,98,160,0.42538265306122447,white_uniform,single_object,5,0.2638392857142857,0.13278061224489796,0,0,253.79239341085272,10.027832889008426,0.4924497238748047,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-2347_orig.jpg,8030,3216,2.4968905472636815,160,64,0.252734375,white_uniform,single_object,3,0.13115234375,0.08857421875,0,0,253.44577752976193,6.759893095736409,0.9150461766419503,255.0,255.0,255.0,0.15_0.30
data/raw/images/Т-12-Р2-2696_orig.jpg,6806,4057,1.6775942814887848,160,95,0.42019736842105265,white_uniform,multi_view,4,0.20953947368421053,0.20098684210526316,0,0,253.86282679738562,7.010076894432857,1.1173607918544037,255.0,255.0,255.0,ge_0.30
data/raw/images/Т-12-Р2-2697_orig.jpg,4596,3602,1.2759578012215436,160,125,0.395,white_uniform,single_object,4,0.21815,0.15825,0,0,253.49985380116956,9.718621721507656,0.2436971132327449,255.0,255.0,255.0,ge_0.30
